tag,year_start,year_end,make_key,family_key,liter,valve
YMM: 1983 - 1987 Ford 6.9L IDI,1983.0,1987.0,ford,idi,6.9L,
YMM: 1988 - 1994 Ford 7.3L IDI,1988.0,1994.0,ford,idi,7.3L,
YMM: 1989 - 1993 Ram 5.9L Cummins,1989.0,1993.0,ram,cummins,5.9L,
YMM: 1992 - 2000 Chevy/GMC 6.5L Detroit Diesel,1992.0,2000.0,chevrolet,,6.5L,
YMM: 1994 - 1997 Ford 7.3L Powerstroke,1994.0,1997.0,ford,powerstroke,7.3L,
YMM: 1994 - 1998 Ram 5.9L Cummins,1994.0,1998.0,ram,cummins,5.9L,
YMM: 1994 - 2002 Ram 5.9L Cummins,1994.0,2002.0,ram,cummins,5.9L,
YMM: 1998.5 - 2002 Ram 5.9L 24-Valve Cummins,1998.5,2002.0,ram,cummins,5.9L,24-valve
YMM: 1999 - 2003 Ford 7.3L Powerstroke,1999.0,2003.0,ford,powerstroke,7.3L,
YMM: 2001 - 2004 Chevy/GMC 6.6L LB7 Duramax,2001.0,2004.0,chevrolet,duramax,6.6L,
YMM: 2003 - 2007 Ford 6.0L Powerstroke,2003.0,2007.0,ford,powerstroke,6.0L,
YMM: 2003 - 2004 Ram 5.9L Cummins,2003.0,2004.0,ram,cummins,5.9L,
YMM: 2004.5 - 2005 Chevy/GMC 6.6L LLY Duramax,2004.5,2005.0,chevrolet,duramax,6.6L,
YMM: 2004.5 - 2007 Ram 5.9L Cummins,2004.5,2007.0,ram,cummins,5.9L,
YMM: 2006 - 2007 Chevy/GMC 6.6L LLY & LBZ Duramax,2006.0,2007.0,chevrolet,duramax,6.6L,
YMM: 2007.5 - 2010 Chevy/GMC 6.6L LMM Duramax,2007.5,2010.0,chevrolet,duramax,6.6L,
YMM: 2007.5 - 2009 Ram 6.7L Cummins,2007.5,2009.0,ram,cummins,6.7L,
YMM: 2008 - 2010 Ford 6.4L Powerstroke,2008.0,2010.0,ford,powerstroke,6.4L,
YMM: 2010 - 2018 Ram 6.7L Cummins,2010.0,2018.0,ram,cummins,6.7L,
YMM: 2011 - 2016 Chevy/GMC 6.6L LML Duramax,2011.0,2016.0,chevrolet,duramax,6.6L,
YMM: 2011 - 2016 Ford 6.7L Powerstroke,2011.0,2016.0,ford,powerstroke,6.7L,
YMM: 2014 - 2018 Ram 1500 EcoDiesel,2014.0,2018.0,ram,ecodiesel,,
YMM: 2015-2016 Ford 6.7L Powerstroke,2015.0,2016.0,ford,powerstroke,6.7L,
YMM: 2016-2022 Canyon/Colorado 2.8L Duramax,2016.0,2022.0,,duramax,2.8L,
YMM: 2016 - 2019 Nissan Titan XD,2016.0,2019.0,nissan,,,
YMM: 2017 - 2019 Chevy/GMC 6.6L L5P Duramax,2017.0,2019.0,chevrolet,duramax,6.6L,
YMM: 2017 - 2019 Ford 6.7L Powerstroke,2017.0,2019.0,ford,powerstroke,6.7L,
YMM: 2017-2019 Ford 6.7L Powerstroke,2017.0,2019.0,ford,powerstroke,6.7L,
YMM: 2018 - 2021 Ford F-150 3.0L Powerstroke,2018.0,2021.0,ford,powerstroke,3.0L,
YMM: 2019 - 2024 Ram 6.7L Cummins,2019.0,2024.0,ram,cummins,6.7L,
YMM: 2020 - 2025 Chevy/GMC 3.0L Duramax LM2/LZO,2020.0,2025.0,chevrolet,duramax,3.0L,
YMM: 2020 - 2025 Chevy/GMC 6.6L L5P Duramax,2020.0,2025.0,chevrolet,duramax,6.6L,
YMM: 2020 - 2026 Ford 6.7L Powerstroke,2020.0,2026.0,ford,powerstroke,6.7L,
YMM: 2020-2023 Jeep EcoDiesel 3.0L,2020.0,2023.0,jeep,ecodiesel,3.0L,
YMM: 2020 - 2023 Ram 1500 EcoDiesel Parts,2020.0,2023.0,ram,ecodiesel,,
YMM: 2025 - 2026 Dodge Ram 6.7L Cummins,2025.0,2026.0,ram,cummins,6.7L,
YMM: 2026 Chevy/GMC 3.0L Duramax LM2/LZO,2026.0,2026.0,chevrolet,duramax,3.0L,
YMM: 2026 Chevy/GMC 6.6L L5P Duramax,2026.0,2026.0,chevrolet,duramax,6.6L,
YMM: 4BT 3.9L Cummins,,,,cummins,3.9L,
