manual_priority,vendor,display_name,official_website_status,official_website_url,sample_sku,review_notes,platform_family,search_family,transport,blocking_hint,browser_required_hint,resolver_hint
0-4,Tekonsha,Tekonsha,confirmed,https://www.tekonsha.com/,TEK-9030,Site search submits POST /api/ue/AddSiteVisitorSearchResults then lands on GET /SearchResults; autocomplete endpoint GET /Api/Search/GetProdAutocomplete?value={sku}&cat=all.,custom,post_search_results,POST+GET,,no,manual_post_search_endpoint
1-0,Baldwin Filters,Baldwin Filters,probable,https://www.baldwinfilters.com/us/en.html,PF7977,search-template fetch error: HTTP Error 403: Forbidden,custom,unresolved,,http_403,no,
1-0,Mile Marker,Mile Marker,probable,https://www.milemarker.com/pages/about-us,MM-19-00105,Bot challenge page,custom,unresolved,,bot_challenge,yes,
1-0,Paramount Automotive,Paramount Automotive,probable,https://www.paramountauto.com/about/,,search-template fetch error: HTTP Error 403: Forbidden,custom,unresolved,,http_403,no,
1-0,WeatherTech,WeatherTech,probable,https://www.weathertech.com/,WT-440612,search-template fetch error: HTTP Error 403: Forbidden,custom,unresolved,,http_403,no,
1-1,Gator Fasteners,Gator Fasteners,probable,https://gatorfasteners.com/,GF-HSK64,search-template fetch error: HTTP Error 405: Not Allowed,custom,unresolved,,http_405,yes,
1-2,Street Performance,Street Performance,probable,https://street-performance.com/,SP-PD805,Unknown page type,custom,unresolved,,unknown_page_type,no,
1-3,73dipstick.com,73dipstick.com,probable,https://73dipstick.com/,73D-110448,No visible search input found,custom,unresolved,,hidden_or_missing_search_ui,yes,
1-3,American Axle & Manufacturing (AAM),American Axle & Manufacturing (AAM),probable,https://www.aam.com/,AAM-DS U-926,No visible search input found,custom,unresolved,,hidden_or_missing_search_ui,yes,
1-3,Eastern Industries,Eastern Industries,probable,http://eastern-industries.com/,EI-18-1575,No visible search input found,custom,unresolved,,hidden_or_missing_search_ui,yes,
1-3,Extend,Extend,probable,https://www.extend.com/,Extend-Protection-Plan-0.09,No visible search input found,custom,unresolved,,hidden_or_missing_search_ui,yes,
1-3,EZ LYNK,EZ LYNK,probable,https://www.ezlynk.com/,EZ-100EE00AA3,No visible search input found,custom,unresolved,,hidden_or_missing_search_ui,yes,
1-3,FASS EGR Solutions,FASS EGR Solutions,probable,https://fassegrsolutions.com/,FASS-EGRC17,No visible search input found,custom,unresolved,,hidden_or_missing_search_ui,yes,
1-3,Gearhead Automotive Performance,Gearhead Automotive Performance,probable,https://www.gearheadautomotive.co/,SCT-7015C60-SN,No visible search input found,custom,unresolved,,hidden_or_missing_search_ui,yes,
1-3,Hawk Performance,Hawk Performance,probable,https://www.hawkperformance.com/,HAWK-HTC4466,No visible search input found,custom,unresolved,,hidden_or_missing_search_ui,yes,
1-3,HUBB Reuseable Oil Filters,HUBB Reuseable Oil Filters,probable,https://www.hubbfilters.com/,HUBB-3304,No visible search input found,custom,unresolved,,hidden_or_missing_search_ui,yes,
1-3,Hypertech,Hypertech,probable,https://hypertech.com/,HYP-730127,No visible search input found,custom,unresolved,,hidden_or_missing_search_ui,yes,
1-3,NAPA Filters,NAPA Filters,probable,https://napa-filters.com/filter-lookup,NAPA-3408,No visible search input found,custom,unresolved,,hidden_or_missing_search_ui,yes,
1-4,Nitro Gear & Axle,Nitro Gear & Axle,probable,https://www.nitro-gear.com/,AEV-NRM43400AA,search-template fetch error: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)>,custom,unresolved,,ssl,no,
1-4,Ranch Hand,Ranch Hand,probable,https://www.ranchhandbumpershop.com/about-us/,RNH-BBD948BLS,search-template fetch error: HTTP Error 500: Internal Server Error,custom,unresolved,,http_500,no,
1-4,Silverline Exhaust,Silverline Exhaust,probable,https://www.ansaautomotive.com/,SLV-UDM1,"search-template fetch error: <urlopen error [Errno 8] nodename nor servname provided, or not known>",custom,unresolved,,,no,
